//Fill tile for whole map
Fill:0
//TileID,X,Y
2,-1,1
2,-1,2
2,-1,4
2,-1,3
2,-1,5
2,-1,6
2,-1,7
2,0,7
2,1,7
2,3,7
2,2,7
2,4,7
2,7,7
2,8,7
2,9,7
2,9,6
2,9,5
2,9,2
2,9,1
2,8,1
2,7,1
2,6,1
2,4,1
2,5,1
2,3,1
2,1,1
2,0,1
2,4,8
2,4,9
2,4,10
2,4,11
2,4,12
2,4,14
2,4,13
2,7,8
2,7,9
2,7,10
2,7,12
2,7,11
2,7,13
2,7,14
2,7,15
2,8,15
2,9,15
2,10,15
2,4,15
2,4,16
2,4,17
2,2,1
2,4,18
2,5,18
2,6,18
2,7,18
2,9,18
2,8,18
2,10,18
2,11,18
2,12,18
2,13,18
2,11,15
2,14,18
2,14,17
2,14,16
2,14,15
2,14,14
2,14,13
2,14,12
2,14,11
2,14,10
2,14,9
2,14,8
2,14,7
2,14,6
2,11,14
2,11,13
2,11,11
2,11,12
2,11,10
2,11,9
2,11,8
2,11,7
2,11,6
2,11,5
2,10,5
2,14,5
2,14,4
2,14,3
2,14,2
2,12,2
2,13,2
2,11,2
2,10,2
7,10,6
7,10,7
7,10,8
7,9,8
7,8,8
7,8,9
6,9,9
7,10,9
6,10,10
7,9,10
7,8,10
7,8,11
7,9,11
7,10,11
7,10,12
6,9,12
7,8,12
6,8,13
7,9,13
7,10,13
7,10,14
7,9,14
7,8,14
